zone_id,latitude,longitude,geological_score,ndvi,rainfall_mm,soil_moisture_pct,temperature_c,equipment_downtime_hrs,target_production,actual_production,shortfall_risk
ZONE-C (Balaghat Pit 4),21.8,80.18,37.8,0.304,31.4,33.1,40.1,24.8,41530.0,25040.0,HIGH
ZONE-F (Mansar),21.4,79.28,64.4,0.358,49.2,47.0,27.3,45.1,43051.0,25831.0,HIGH
ZONE-E (Kandri),21.42,79.27,43.9,0.301,7.6,18.7,41.8,6.1,43215.0,38993.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,36.5,0.305,25.4,34.2,36.8,29.4,36199.0,21719.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,79.5,0.421,72.5,44.9,35.8,11.1,42769.0,35140.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,68.7,0.327,20.5,30.5,31.6,15.4,41683.0,31439.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,80.4,0.295,20.6,28.8,32.6,12.9,43376.0,34445.0,HIGH
ZONE-E (Kandri),21.42,79.27,52.5,0.363,32.5,35.2,29.6,8.4,37470.0,32412.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,39.9,0.301,47.5,43.6,32.2,10.2,40270.0,33702.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,42.8,0.232,2.2,21.5,35.1,14.4,36438.0,28023.0,HIGH
ZONE-F (Mansar),21.4,79.28,57.3,0.399,60.5,47.4,33.2,22.8,40064.0,25430.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,51.8,0.267,6.5,16.4,31.7,23.7,36038.0,22378.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,91.8,0.232,2.0,25.5,32.6,23.4,44897.0,28117.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,34.9,0.492,120.3,76.2,27.8,4.6,41558.0,30783.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,59.1,0.409,39.6,32.2,40.8,11.4,43042.0,35158.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,36.3,0.279,13.8,26.6,37.7,45.9,41510.0,24906.0,HIGH
ZONE-F (Mansar),21.4,79.28,55.7,0.29,7.6,21.0,37.7,16.8,37631.0,27530.0,HIGH
ZONE-E (Kandri),21.42,79.27,39.5,0.3,41.2,37.5,34.8,18.0,37217.0,26519.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,34.9,0.25,17.6,25.6,36.7,0.9,41344.0,40772.0,LOW
ZONE-A (Dongri Buzurg),21.53,79.68,73.7,0.295,37.3,34.3,29.6,11.4,42294.0,34549.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,48.8,0.343,41.6,44.2,37.8,10.8,38352.0,31713.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,51.4,0.271,2.2,17.3,31.1,21.9,36822.0,23936.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,42.9,0.31,30.8,30.3,36.0,1.7,44069.0,42895.0,LOW
ZONE-D (Gumgaon),21.38,79.03,64.9,0.272,11.3,20.9,35.4,24.2,41505.0,25405.0,HIGH
ZONE-F (Mansar),21.4,79.28,62.0,0.43,85.5,53.4,30.3,8.2,40996.0,28496.0,HIGH
ZONE-F (Mansar),21.4,79.28,75.4,0.288,31.2,36.3,38.4,19.2,39243.0,27211.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,76.6,0.341,36.7,40.8,40.9,12.1,41967.0,33859.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,60.6,0.359,59.3,45.1,36.2,9.8,36008.0,30339.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,48.1,0.295,5.2,22.3,36.8,21.2,38813.0,25646.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,68.8,0.27,8.2,23.8,41.0,24.0,42225.0,25983.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,69.0,0.292,13.9,26.0,36.1,7.1,37859.0,33588.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,68.8,0.303,47.9,39.5,30.3,19.0,39332.0,27368.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,82.4,0.29,13.7,24.0,36.5,11.4,44129.0,36086.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,71.3,0.225,4.0,18.6,38.9,9.9,43715.0,36760.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,65.6,0.299,11.2,23.3,26.9,5.3,38754.0,35463.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,74.2,0.374,56.8,45.0,36.6,20.6,38816.0,26030.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,43.7,0.369,56.9,45.7,27.3,27.7,38764.0,23259.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,40.2,0.473,112.2,70.2,29.1,18.4,39616.0,22379.0,HIGH
ZONE-E (Kandri),21.42,79.27,55.5,0.369,25.0,27.8,39.3,18.3,43550.0,30797.0,HIGH
ZONE-E (Kandri),21.42,79.27,55.4,0.405,89.4,58.5,28.2,3.5,36638.0,27648.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,38.0,0.353,39.8,32.4,30.0,11.8,39538.0,32074.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,60.0,0.37,84.9,58.9,28.7,11.8,37097.0,30100.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,73.6,0.244,5.2,23.2,35.5,3.2,37761.0,35806.0,LOW
ZONE-B (Tirodi Mine),21.68,79.71,70.7,0.254,36.6,31.7,30.1,13.8,41364.0,32258.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,75.2,0.309,20.0,28.1,26.9,10.0,36002.0,30245.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,74.0,0.284,25.2,34.6,38.0,19.0,38087.0,26513.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,86.4,0.264,4.4,13.3,32.0,30.6,36320.0,21792.0,HIGH
ZONE-F (Mansar),21.4,79.28,68.7,0.234,4.0,24.9,30.4,7.7,42652.0,37381.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,36.6,0.33,39.4,42.3,39.9,15.6,44882.0,33675.0,HIGH
ZONE-F (Mansar),21.4,79.28,64.5,0.271,10.0,25.4,39.7,15.7,36063.0,26994.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,70.1,0.432,107.8,69.0,29.0,7.9,39269.0,27451.0,HIGH
ZONE-E (Kandri),21.42,79.27,49.1,0.424,73.0,52.8,31.3,11.7,38884.0,31594.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,74.6,0.394,65.1,50.2,30.5,12.2,37251.0,29979.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,31.8,0.375,67.3,50.3,38.3,8.1,39393.0,34268.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,65.1,0.31,49.2,50.7,37.2,11.0,41893.0,34498.0,MEDIUM
